ship,depPort,arrPort,route,scheduled_departure,estimated_departure,actual_departure,scheduled_arrival,estimated_arrival,actual_arrival,departure_delay_hours,scheduled_transit_hours,actual_transit_hours,avg_speed_knots,arrival_delay_hours
Europa,FIHEL,EETLL,FIHEL → EETLL,2018-05-02 15:30:00+00:00,2018-05-02 15:31:00+00:00,2018-05-02 15:32:21+00:00,2018-05-02 19:00:00+00:00,2018-05-02 18:47:00+00:00,2018-05-02 18:53:00+00:00,0.03916666666666667,3.5,3.3441666666666667,13.998245614035088,-0.11666666666666667
Star,FIHEL,EETLL,FIHEL → EETLL,2018-05-03 04:30:00+00:00,2018-05-03 04:30:00+00:00,2018-05-03 04:21:08+00:00,2018-05-03 06:30:00+00:00,2018-05-03 06:35:00+00:00,2018-05-03 06:38:00+00:00,-0.14777777777777779,2.0,2.281111111111111,20.346017699115045,0.13333333333333333
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-05-04 09:00:00+00:00,2018-05-04 09:02:00+00:00,2018-05-04 09:02:15+00:00,2018-05-04 11:15:00+00:00,2018-05-04 11:21:00+00:00,2018-05-04 11:56:00+00:00,0.0375,2.25,2.8958333333333335,20.20229007633588,0.6833333333333333
Megastar,EETLL,FIHEL,EETLL → FIHEL,2018-05-04 10:30:00+00:00,2018-05-04 10:30:00+00:00,2018-05-04 10:19:18+00:00,2018-05-04 12:30:00+00:00,2018-05-04 12:31:00+00:00,2018-05-04 12:54:00+00:00,-0.17833333333333334,2.0,2.578333333333333,19.8376,0.4
Star,FIHEL,EETLL,FIHEL → EETLL,2018-05-04 16:30:00+00:00,2018-05-04 16:30:00+00:00,2018-05-04 16:20:44+00:00,2018-05-04 18:30:00+00:00,2018-05-04 18:34:00+00:00,2018-05-04 18:38:00+00:00,-0.15444444444444444,2.0,2.287777777777778,20.10462962962963,0.13333333333333333
Megastar,EETLL,FIHEL,EETLL → FIHEL,2018-05-05 10:30:00+00:00,2018-05-05 10:30:00+00:00,2018-05-05 10:19:16+00:00,2018-05-05 12:30:00+00:00,2018-05-05 12:31:00+00:00,2018-05-05 12:50:00+00:00,-0.17888888888888888,2.0,2.5122222222222224,20.374166666666667,0.3333333333333333
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-05-07 07:30:00+00:00,2018-05-07 07:30:00+00:00,2018-05-07 07:20:15+00:00,2018-05-07 09:30:00+00:00,2018-05-07 09:35:00+00:00,2018-05-07 09:36:00+00:00,-0.1625,2.0,2.2625,21.223076923076924,0.1
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-05-07 09:00:00+00:00,2018-05-07 09:00:00+00:00,2018-05-07 08:56:51+00:00,2018-05-07 11:15:00+00:00,2018-05-07 11:15:00+00:00,2018-05-07 11:47:00+00:00,-0.0525,2.25,2.8358333333333334,19.14087591240876,0.5333333333333333
Star,FIHEL,EETLL,FIHEL → EETLL,2018-05-07 10:30:00+00:00,2018-05-07 10:30:00+00:00,2018-05-07 10:19:13+00:00,2018-05-07 12:30:00+00:00,2018-05-07 12:33:00+00:00,2018-05-07 12:37:00+00:00,-0.17972222222222223,2.0,2.296388888888889,20.05728155339806,0.11666666666666667
Finlandia,FIHEL,EETLL,FIHEL → EETLL,2018-05-07 18:40:00+00:00,2018-05-07 18:40:00+00:00,2018-05-07 18:36:03+00:00,2018-05-07 20:50:00+00:00,2018-05-07 20:56:00+00:00,2018-05-07 21:02:00+00:00,-0.06583333333333333,2.1666666666666665,2.4325,19.447407407407407,0.2
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-05-08 09:00:00+00:00,2018-05-08 09:09:00+00:00,2018-05-08 09:09:09+00:00,2018-05-08 11:15:00+00:00,2018-05-08 11:27:00+00:00,2018-05-08 11:54:00+00:00,0.1525,2.25,2.7475,19.78854961832061,0.65
Star,EETLL,FIHEL,EETLL → FIHEL,2018-05-08 20:30:00+00:00,2018-05-08 20:30:00+00:00,2018-05-08 20:20:08+00:00,2018-05-08 22:30:00+00:00,2018-05-08 22:32:00+00:00,2018-05-08 22:50:00+00:00,-0.16444444444444445,2.0,2.497777777777778,19.858196721311472,0.3333333333333333
Megastar,EETLL,FIHEL,EETLL → FIHEL,2018-05-09 04:30:00+00:00,2018-05-09 04:30:00+00:00,2018-05-09 04:21:20+00:00,2018-05-09 06:30:00+00:00,2018-05-09 06:33:00+00:00,2018-05-09 06:55:00+00:00,-0.14444444444444443,2.0,2.561111111111111,20.29,0.4166666666666667
Megastar,EETLL,FIHEL,EETLL → FIHEL,2018-05-09 16:30:00+00:00,2018-05-09 16:30:00+00:00,2018-05-09 16:20:47+00:00,2018-05-09 18:30:00+00:00,2018-05-09 18:32:00+00:00,2018-05-09 18:49:00+00:00,-0.15361111111111111,2.0,2.4702777777777776,19.97377049180328,0.31666666666666665
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-05-10 19:30:00+00:00,2018-05-10 19:30:00+00:00,2018-05-10 19:20:41+00:00,2018-05-10 21:30:00+00:00,2018-05-10 21:35:00+00:00,2018-05-10 21:47:00+00:00,-0.15527777777777776,2.0,2.4386111111111113,21.74909090909091,0.2833333333333333
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-05-11 09:00:00+00:00,2018-05-11 09:00:00+00:00,2018-05-11 08:55:28+00:00,2018-05-11 11:15:00+00:00,2018-05-11 11:13:00+00:00,2018-05-11 11:45:00+00:00,-0.07555555555555556,2.25,2.8255555555555554,19.65230769230769,0.5
Finlandia,FIHEL,EETLL,FIHEL → EETLL,2018-05-11 12:15:00+00:00,2018-05-11 12:15:00+00:00,2018-05-11 12:15:15+00:00,2018-05-11 14:30:00+00:00,2018-05-11 14:35:00+00:00,2018-05-11 14:37:00+00:00,0.004166666666666667,2.25,2.3625,20.365322580645163,0.11666666666666667
Star,FIHEL,EETLL,FIHEL → EETLL,2018-05-11 16:30:00+00:00,2018-05-11 16:30:00+00:00,2018-05-11 16:21:24+00:00,2018-05-11 18:30:00+00:00,2018-05-11 18:35:00+00:00,2018-05-11 18:40:00+00:00,-0.14333333333333334,2.0,2.31,20.50267857142857,0.16666666666666666
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-05-12 03:00:00+00:00,2018-05-12 03:00:00+00:00,2018-05-12 02:48:53+00:00,2018-05-12 05:15:00+00:00,2018-05-12 05:07:00+00:00,2018-05-12 05:31:00+00:00,-0.1852777777777778,2.25,2.7019444444444445,18.368794326241133,0.26666666666666666
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-05-12 09:00:00+00:00,2018-05-12 09:01:00+00:00,2018-05-12 09:01:52+00:00,2018-05-12 11:15:00+00:00,2018-05-12 11:19:00+00:00,2018-05-12 11:49:00+00:00,0.03111111111111111,2.25,2.7855555555555553,20.3712,0.5666666666666667
Star,FIHEL,EETLL,FIHEL → EETLL,2018-06-01 04:30:00+00:00,2018-06-01 04:30:00+00:00,2018-06-01 04:22:13+00:00,2018-06-01 06:30:00+00:00,2018-06-01 06:36:00+00:00,2018-06-01 06:36:00+00:00,-0.1297222222222222,2.0,2.229722222222222,19.9130081300813,0.1
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-06-01 19:30:00+00:00,2018-06-01 19:30:00+00:00,2018-06-01 19:23:40+00:00,2018-06-01 21:30:00+00:00,2018-06-01 21:38:00+00:00,2018-06-01 21:43:00+00:00,-0.10555555555555556,2.0,2.3222222222222224,21.38348623853211,0.21666666666666667
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-06-02 15:30:00+00:00,2018-06-02 15:30:00+00:00,2018-06-02 15:21:12+00:00,2018-06-02 18:00:00+00:00,2018-06-02 17:39:00+00:00,2018-06-02 18:17:00+00:00,-0.14666666666666667,2.5,2.93,17.71390728476821,0.2833333333333333
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-06-04 19:30:00+00:00,2018-06-04 19:30:00+00:00,2018-06-04 19:18:07+00:00,2018-06-04 21:30:00+00:00,2018-06-04 21:32:00+00:00,2018-06-04 21:34:00+00:00,-0.19805555555555557,2.0,2.2647222222222223,20.52520325203252,0.06666666666666667
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-06-06 15:30:00+00:00,2018-06-06 15:36:00+00:00,2018-06-06 15:35:56+00:00,2018-06-06 18:00:00+00:00,2018-06-06 17:54:00+00:00,2018-06-06 18:23:00+00:00,0.09888888888888889,2.5,2.7844444444444445,19.555882352941172,0.38333333333333336
Megastar,EETLL,FIHEL,EETLL → FIHEL,2018-06-06 16:30:00+00:00,2018-06-06 16:30:00+00:00,2018-06-06 16:19:56+00:00,2018-06-06 18:30:00+00:00,2018-06-06 18:32:00+00:00,2018-06-06 19:00:00+00:00,-0.16777777777777778,2.0,2.667777777777778,20.591129032258067,0.5
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-06-08 13:30:00+00:00,2018-06-08 13:30:00+00:00,2018-06-08 13:30:55+00:00,2018-06-08 15:30:00+00:00,2018-06-08 15:45:00+00:00,2018-06-08 15:55:00+00:00,0.015277777777777777,2.0,2.401388888888889,22.876146788990827,0.4166666666666667
Star,EETLL,FIHEL,EETLL → FIHEL,2018-06-08 13:30:00+00:00,2018-06-08 13:30:00+00:00,2018-06-08 13:21:12+00:00,2018-06-08 15:30:00+00:00,2018-06-08 15:33:00+00:00,2018-06-08 15:53:00+00:00,-0.14666666666666667,2.0,2.53,20.451239669421486,0.38333333333333336
Finlandia,FIHEL,EETLL,FIHEL → EETLL,2018-06-09 06:00:00+00:00,2018-06-09 06:00:00+00:00,2018-06-09 05:54:40+00:00,2018-06-09 08:15:00+00:00,2018-06-09 08:15:00+00:00,2018-06-09 08:16:00+00:00,-0.08888888888888889,2.25,2.3555555555555556,19.954615384615384,0.016666666666666666
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-06-09 09:00:00+00:00,2018-06-09 09:00:00+00:00,2018-06-09 08:54:52+00:00,2018-06-09 11:15:00+00:00,2018-06-09 11:13:00+00:00,2018-06-09 11:50:00+00:00,-0.08555555555555555,2.25,2.918888888888889,19.63529411764706,0.5833333333333334
Star,EETLL,FIHEL,EETLL → FIHEL,2018-06-09 13:30:00+00:00,2018-06-09 13:30:00+00:00,2018-06-09 13:23:38+00:00,2018-06-09 15:30:00+00:00,2018-06-09 15:35:00+00:00,2018-06-09 15:58:00+00:00,-0.10611111111111111,2.0,2.5727777777777776,19.92661290322581,0.4666666666666667
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-06-09 13:30:00+00:00,2018-06-09 13:30:00+00:00,2018-06-09 13:20:13+00:00,2018-06-09 15:30:00+00:00,2018-06-09 15:34:00+00:00,2018-06-09 15:39:00+00:00,-0.16305555555555556,2.0,2.3130555555555556,21.06016949152542,0.15
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-06-09 19:30:00+00:00,2018-06-09 19:30:00+00:00,2018-06-09 19:20:30+00:00,2018-06-09 21:30:00+00:00,2018-06-09 21:35:00+00:00,2018-06-09 21:40:00+00:00,-0.15833333333333333,2.0,2.325,20.98347107438017,0.16666666666666666
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-06-10 09:00:00+00:00,2018-06-10 09:03:00+00:00,2018-06-10 09:03:59+00:00,2018-06-10 11:15:00+00:00,2018-06-10 11:23:00+00:00,2018-06-10 11:46:00+00:00,0.06638888888888889,2.25,2.700277777777778,20.28854961832061,0.5166666666666667
Megastar,EETLL,FIHEL,EETLL → FIHEL,2018-06-10 10:30:00+00:00,2018-06-10 10:30:00+00:00,2018-06-10 10:24:44+00:00,2018-06-10 12:30:00+00:00,2018-06-10 12:35:00+00:00,2018-06-10 13:06:00+00:00,-0.08777777777777777,2.0,2.687777777777778,21.48793103448276,0.6
Megastar,EETLL,FIHEL,EETLL → FIHEL,2018-06-11 16:30:00+00:00,2018-06-11 16:30:00+00:00,2018-06-11 16:22:43+00:00,2018-06-11 18:30:00+00:00,2018-06-11 18:34:00+00:00,2018-06-11 19:11:00+00:00,-0.1213888888888889,2.0,2.8047222222222223,20.451219512195124,0.6833333333333333
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-06-12 07:30:00+00:00,2018-06-12 07:30:00+00:00,2018-06-12 07:19:28+00:00,2018-06-12 09:30:00+00:00,2018-06-12 09:34:00+00:00,2018-06-12 09:38:00+00:00,-0.17555555555555555,2.0,2.3088888888888888,21.175,0.13333333333333333
Star,EETLL,FIHEL,EETLL → FIHEL,2018-06-12 13:30:00+00:00,2018-06-12 13:30:00+00:00,2018-06-12 13:21:09+00:00,2018-06-12 15:30:00+00:00,2018-06-12 15:33:00+00:00,2018-06-12 15:55:00+00:00,-0.1475,2.0,2.5641666666666665,19.538400000000003,0.4166666666666667
Megastar,EETLL,FIHEL,EETLL → FIHEL,2018-07-01 04:30:00+00:00,2018-07-01 04:30:00+00:00,2018-07-01 04:20:18+00:00,2018-07-01 06:30:00+00:00,2018-07-01 06:31:00+00:00,2018-07-01 07:03:00+00:00,-0.16166666666666665,2.0,2.7116666666666664,20.27603305785124,0.55
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-07-01 09:00:00+00:00,2018-07-01 09:00:00+00:00,2018-07-01 08:59:18+00:00,2018-07-01 11:15:00+00:00,2018-07-01 11:18:00+00:00,2018-07-01 12:01:00+00:00,-0.011666666666666667,2.25,3.0283333333333333,20.1921875,0.7666666666666667
Star,FIHEL,EETLL,FIHEL → EETLL,2018-07-01 10:30:00+00:00,2018-07-01 10:30:00+00:00,2018-07-01 10:19:22+00:00,2018-07-01 12:30:00+00:00,2018-07-01 12:34:00+00:00,2018-07-01 12:42:00+00:00,-0.17722222222222223,2.0,2.377222222222222,19.52578125,0.2
Star,EETLL,FIHEL,EETLL → FIHEL,2018-07-02 07:30:00+00:00,2018-07-02 07:30:00+00:00,2018-07-02 07:26:18+00:00,2018-07-02 09:30:00+00:00,2018-07-02 09:38:00+00:00,2018-07-02 10:03:00+00:00,-0.06166666666666667,2.0,2.611666666666667,19.522413793103446,0.55
Megastar,EETLL,FIHEL,EETLL → FIHEL,2018-07-02 10:30:00+00:00,2018-07-02 10:30:00+00:00,2018-07-02 10:22:16+00:00,2018-07-02 12:30:00+00:00,2018-07-02 12:34:00+00:00,2018-07-02 12:57:00+00:00,-0.1288888888888889,2.0,2.578888888888889,20.742241379310343,0.45
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-07-02 15:30:00+00:00,2018-07-02 15:30:00+00:00,2018-07-02 15:29:45+00:00,2018-07-02 18:00:00+00:00,2018-07-02 17:47:00+00:00,2018-07-02 18:13:00+00:00,-0.004166666666666667,2.5,2.720833333333333,18.2939393939394,0.21666666666666667
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-07-03 03:00:00+00:00,2018-07-03 03:00:00+00:00,2018-07-03 02:55:55+00:00,2018-07-03 05:15:00+00:00,2018-07-03 05:14:00+00:00,2018-07-03 05:48:00+00:00,-0.06805555555555555,2.25,2.8680555555555554,19.986259541984733,0.55
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-07-03 15:30:00+00:00,2018-07-03 15:30:00+00:00,2018-07-03 15:28:51+00:00,2018-07-03 18:00:00+00:00,2018-07-03 17:47:00+00:00,2018-07-03 18:16:00+00:00,-0.019166666666666665,2.5,2.785833333333333,18.524637681159422,0.26666666666666666
Finlandia,EETLL,FIHEL,EETLL → FIHEL,2018-07-05 09:00:00+00:00,2018-07-05 09:07:00+00:00,2018-07-05 09:07:56+00:00,2018-07-05 11:15:00+00:00,2018-07-05 11:26:00+00:00,2018-07-05 11:57:00+00:00,0.1322222222222222,2.25,2.8177777777777777,20.497692307692308,0.7
Star,EETLL,FIHEL,EETLL → FIHEL,2018-07-07 13:30:00+00:00,2018-07-07 13:30:00+00:00,2018-07-07 13:19:17+00:00,2018-07-07 15:30:00+00:00,2018-07-07 15:31:00+00:00,2018-07-07 15:49:00+00:00,-0.1786111111111111,2.0,2.495277777777778,18.91269841269841,0.31666666666666665
Megastar,FIHEL,EETLL,FIHEL → EETLL,2018-07-07 13:30:00+00:00,2018-07-07 13:30:00+00:00,2018-07-07 13:19:18+00:00,2018-07-07 15:30:00+00:00,2018-07-07 15:34:00+00:00,2018-07-07 15:39:00+00:00,-0.17833333333333334,2.0,2.328333333333333,21.152631578947368,0.15
Star,EETLL,FIHEL,EETLL → FIHEL,2018-07-08 07:30:00+00:00,2018-07-08 07:30:00+00:00,2018-07-08 07:22:23+00:00,2018-07-08 09:30:00+00:00,2018-07-08 09:33:00+00:00,2018-07-08 09:35:00+00:00,-0.12694444444444444,2.0,2.210277777777778,19.4632,0.08333333333333333
Star,FIHEL,EETLL,FIHEL → EETLL,2018-07-08 10:30:00+00:00,2018-07-08 10:30:00+00:00,2018-07-08 10:18:57+00:00,2018-07-08 12:30:00+00:00,2018-07-08 12:31:00+00:00,2018-07-08 12:40:00+00:00,-0.18416666666666667,2.0,2.3508333333333336,19.585833333333333,0.16666666666666666
Finlandia,FIHEL,EETLL,FIHEL → EETLL,2018-07-09 12:15:00+00:00,2018-07-09 12:28:00+00:00,2018-07-09 12:29:41+00:00,2018-07-09 14:30:00+00:00,2018-07-09 14:49:00+00:00,2018-07-09 14:49:00+00:00,0.24472222222222223,2.25,2.3219444444444446,21.58606557377049,0.31666666666666665
Finlandia,FIHEL,EETLL,FIHEL → EETLL,2018-07-09 18:40:00+00:00,2018-07-09 18:52:00+00:00,2018-07-09 18:53:01+00:00,2018-07-09 20:50:00+00:00,2018-07-09 21:13:00+00:00,2018-07-09 21:21:00+00:00,0.21694444444444444,2.1666666666666665,2.466388888888889,21.74033613445378,0.5166666666666667
Finlandia,FIHEL,EETLL,FIHEL → EETLL,2018-07-10 12:15:00+00:00,2018-07-10 12:19:00+00:00,2018-07-10 12:19:33+00:00,2018-07-10 14:30:00+00:00,2018-07-10 14:40:00+00:00,2018-07-10 14:54:00+00:00,0.07583333333333334,2.25,2.5741666666666667,21.131707317073168,0.4
Star,EETLL,FIHEL,EETLL → FIHEL,2018-07-10 13:30:00+00:00,2018-07-10 13:30:00+00:00,2018-07-10 13:22:07+00:00,2018-07-10 15:30:00+00:00,2018-07-10 15:33:00+00:00,2018-07-10 16:06:00+00:00,-0.1313888888888889,2.0,2.731388888888889,19.418181818181814,0.6
Star,FIHEL,EETLL,FIHEL → EETLL,2018-07-10 16:30:00+00:00,2018-07-10 16:30:00+00:00,2018-07-10 16:19:54+00:00,2018-07-10 18:30:00+00:00,2018-07-10 18:34:00+00:00,2018-07-10 18:40:00+00:00,-0.16833333333333333,2.0,2.335,20.074107142857144,0.16666666666666666
Megastar,EETLL,FIHEL,EETLL → FIHEL,2018-07-11 04:30:00+00:00,2018-07-11 04:30:00+00:00,2018-07-11 04:19:22+00:00,2018-07-11 06:30:00+00:00,2018-07-11 06:31:00+00:00,2018-07-11 07:07:00+00:00,-0.17722222222222223,2.0,2.793888888888889,19.826153846153847,0.6166666666666667
